Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""015603008X""","=""9780156030083""",0,Harvest Books,Paperback,311,2004,1966,,2024/11/05,to-read,to-read (#11),to-read,,,,0,0
195820807,"Just for the Summer (Part of Your World, #3)",Abby Jimenez,"Jimenez, Abby",,"=""1538704439""","=""9781538704431""",4,Forever,Paperback,432,2024,2024,2024/11/01,2024/01/05,,,read,,,,1,0
201072367,Goodnight Tokyo,Atsuhiro Yoshida,"Yoshida, Atsuhiro",Haydn Trowell,"=""""","=""9798889660279""",4,Europa Editions,Paperback,175,2024,2018,2024/10/31,2024/10/24,,,read,,,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",5,Picador,Paperback,213,2019,2015,2024/10/18,2024/09/15,,,read,,,,1,0
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",4,Knopf Doubleday,Hardcover,303,2024,2024,2024/10/16,2024/07/23,,,read,,,,1,0
127976148,The Funeral Cryer,Wenyan Lu,"Lu, Wenyan",,"=""1335016937""","=""9781335016935""",3,Hanover Square Press,Hardcover,336,2024,,2024/10/03,2024/10/02,,,read,,,,1,0
66269953,"Before We Say Goodbye (Before the Coffee Gets Cold, #4)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""0369747305""","=""9780369747303""",5,Hanover Square Press,ebook,173,2023,2021,2024/09/15,2024/09/15,,,read,,,,1,0
173404023,A Love Song for Ricki Wilde,Tia Williams,"Williams, Tia",,"=""153872670X""","=""9781538726709""",4,Grand Central Publishing,Hardcover,339,2024,2024,2024/09/14,2024/08/14,,,read,,,,1,0
75696183,Hold My Girl,Charlene Carr,"Carr, Charlene",,"=""1728270413""","=""9781728270418""",3,Sourcebooks Landmark,Hardcover,400,2023,2023,2024/09/10,2024/09/10,,,read,,,,1,0
199534613,Margo's Got Money Troubles,Rufi Thorpe,"Thorpe, Rufi",,"=""0063356589""","=""9780063356580""",0,William Morrow,Hardcover,304,2024,2024,,2024/08/26,to-read,to-read (#10),to-read,,,,0,0
127975602,Everyone Is Watching,Heather Gudenkauf,"Gudenkauf, Heather",,"=""0778310795""","=""9780778310792""",4,Park Row,Paperback,320,2024,2024,2024/08/25,2024/08/24,,,read,,,,1,0
200987323,I Hope This Finds You Well,Natalie Sue,"Sue, Natalie",,"=""0063320363""","=""9780063320369""",4,William Morrow,Hardcover,338,2024,2024,2024/08/23,2024/06/13,,,read,,,,1,0
127305853,The Women,Kristin Hannah,"Hannah, Kristin",,"=""1250178630""","=""9781250178633""",5,St. Martin's Press,Hardcover,471,2024,2024,2024/08/16,2024/08/13,,,read,,,,1,0
57390604,As Long as the Lemon Trees Grow,Zoulfa Katouh,"Katouh, Zoulfa",,"=""0316351377""","=""9780316351379""",0,"Little, Brown Books for Young Readers",Hardcover,417,2022,2022,,2024/08/14,to-read,to-read (#9),to-read,,,,0,0
194802722,Funny Story,Emily Henry,"Henry, Emily",,"=""""","=""""",5,Berkley,Kindle Edition,395,2024,2024,2024/08/02,2024/01/05,,,read,,,,1,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",5,Riverhead Books,Hardcover,336,2015,2015,2024/07/27,2024/07/23,,,read,,,,1,0
195430687,Blue Sisters,Coco Mellors,"Mellors, Coco",,"=""0593723767""","=""9780593723760""",0,Ballantine Books,Hardcover,352,2024,2024,,2024/07/23,to-read,to-read (#8),to-read,,,,0,0
53137974,The Good Sister,Sally Hepworth,"Hepworth, Sally",,"=""1250120950""","=""9781250120953""",4,St. Martin's Press,Hardcover,309,2021,2020,2024/07/23,2024/07/14,,,read,,,,1,0
39333677,If You're Out There,Katy Loutzenhiser,"Loutzenhiser, Katy",,"=""0062865692""","=""9780062865694""",4,Balzer + Bray,Kindle Edition,308,2019,2019,2024/07/12,2024/07/10,,,read,,,,1,0
69704979,The Fatal Folio (Cambridge Bookshop #3),Elizabeth Penney,"Penney, Elizabeth",,"=""1250787750""","=""9781250787750""",3,St. Martin's Paperbacks,Kindle Edition,320,2023,2023,2024/07/04,2024/07/02,,,read,,,,1,0
61884844,Bad Summer People,Emma Rosenblum,"Rosenblum, Emma",,"=""1250887003""","=""9781250887009""",4,Flatiron Books,Hardcover,272,2023,2023,2024/07/01,2024/02/27,,,read,,,,1,0
